16	1000 	 119.447µs 	 221.352µs 	 393.56µs 	 37.417µs 	 999.5574259585084 	 127943.35052268907 	 2.0470936083630251e+06
32	1000 	 117.057µs 	 210.64µs 	 300.214µs 	 26.767µs 	 999.6266704270224 	 255904.42762931774 	 2.047235421034542e+06
64	1000 	 66.536µs 	 188.866µs 	 305.321µs 	 32.694µs 	 999.6059723190133 	 511798.2578273348 	 2.0471930313093392e+06
128	1000 	 84.018µs 	 203.679µs 	 317.836µs 	 33.452µs 	 999.6512896413318 	 1.0236429205927238e+06 	 2.0472858411854475e+06
256	1000 	 101.421µs 	 187.808µs 	 453.633µs 	 52.413µs 	 999.7140387972004 	 2.0474143514566664e+06 	 2.0474143514566664e+06
512	1000 	 105.881µs 	 195.944µs 	 300.939µs 	 41.875µs 	 999.668406990396 	 4.094641795032662e+06 	 2.047320897516331e+06
1024	1000 	 81.431µs 	 209.741µs 	 295.656µs 	 37.096µs 	 999.6168398679606 	 8.188861152198333e+06 	 2.0472152880495833e+06
2048	1000 	 124.008µs 	 242.149µs 	 4.829935ms 	 217.798µs 	 999.6246319540796 	 1.637784996993564e+07 	 2.047231246241955e+06
4096	1000 	 103.188µs 	 223.675µs 	 4.167138ms 	 180.704µs 	 999.6124372631114 	 3.2755300344237633e+07 	 2.047206271514852e+06
8192	1000 	 88.37µs 	 229.462µs 	 4.421858ms 	 261.346µs 	 999.5869616711549 	 6.550893112008081e+07 	 2.0471540975025252e+06
16384	1000 	 74.448µs 	 232.909µs 	 4.298871ms 	 357.146µs 	 999.5312498297674 	 1.3101055997768727e+08 	 2.0470399996513636e+06
32768	1000 	 81.63µs 	 323.513µs 	 4.468417ms 	 507.767µs 	 999.5420987695907 	 2.6202396393985558e+08 	 2.0470622182801217e+06
65536	1000 	 142.311µs 	 382.811µs 	 4.257967ms 	 666.404µs 	 999.60097428508 	 5.2407879560597605e+08 	 2.047182795335844e+06
131072	1000 	 117.45µs 	 565.827µs 	 4.363188ms 	 935.141µs 	 999.5598648042907 	 1.0481144847970239e+09 	 2.0470986031191873e+06
262144	1000 	 184.186µs 	 1.003962ms 	 4.850476ms 	 1.255844ms 	 999.4551759950064 	 2.0960094212482796e+09 	 2.046884200437773e+06
