top - 21:02:22 up 15 days,  5:05,  6 users,  load average: 0.87, 0.76, 0.44
Tasks: 355 total,   2 running, 353 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.1 sy,  0.0 ni, 99.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:  98996304 total, 22576420 used, 76419888 free,   259488 buffers
KiB Swap: 29296636 total,        0 used, 29296636 free. 20430240 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
15799 root      20   0  103568   4256   3204 S   0.0  0.0   0:00.01 sshd
15909 eyujugu   20   0  103568   1996    944 S   0.0  0.0   0:00.06 sshd
15910 eyujugu   20   0   22436   5056   1896 S   0.0  0.0   0:00.18 bash
16058 root      20   0       0      0      0 S   0.0  0.0   0:00.02 kworker/6:0
16163 root      20   0  103568   4244   3192 S   0.0  0.0   0:00.02 sshd
16182 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/7:2
16213 eyujugu   20   0  103568   1996    944 S   0.0  0.0   0:00.28 sshd
16214 eyujugu   20   0   22476   5100   1896 S   0.0  0.0   0:00.61 bash
16872 root      20   0       0      0      0 S   0.0  0.0   0:02.32 kworker/0:2
17073 root      20   0       0      0      0 S   0.0  0.0   0:02.29 kworker/u66:2
17080 root      20   0       0      0      0 S   0.0  0.0   0:02.55 kworker/6:2
17103 root      20   0       0      0      0 S   0.0  0.0   0:00.78 kworker/1:0
17402 root      20   0  103568   4248   3196 S   0.0  0.0   0:00.02 sshd
17451 eyujugu   20   0  103568   1996    944 S   0.0  0.0   0:00.49 sshd
17452 eyujugu   20   0   22436   5048   1888 S   0.0  0.0   0:00.21 bash
17509 root      20   0       0      0      0 S   0.0  0.0   0:01.34 kworker/9:1
17529 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/5:1
17689 root      20   0       0      0      0 S   0.0  0.0   0:00.06 kworker/15:1
18016 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/3:1
18037 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u66:1
18362 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/2:1
18367 root      20   0       0      0      0 S   0.0  0.0   0:00.41 kworker/4:2
18715 root      20   0       0      0      0 S   0.0  0.0   0:01.67 kworker/14:2
18851 root      20   0   77656   1492    812 S   0.0  0.0   0:00.02 libvirt_lxc
18852 root      20   0   18228   2060   1512 S   0.0  0.0   0:00.00 bash
18880 root      20   0    7704    336    212 S   0.0  0.0   0:00.00 netserver
18882 root      20   0    6504    704    588 S   0.0  0.0   0:06.14 iperf3
18884 root      20   0   35260   7420    992 S   0.0  0.0   0:04.01 redis-server
18885 root      20   0   27252   1944   1400 S   0.0  0.0   0:00.00 netLatencyTeste
18926 root      20   0  970660  20072   9324 S   0.0  0.0   7:28.59 libvirtd
18942 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/12:0
19062 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/8:1
19372 root      20   0  103568   4248   3192 S   0.0  0.0   0:00.01 sshd
19421 eyujugu   20   0  103568   2000    944 S   0.0  0.0   0:00.04 sshd
19422 eyujugu   20   0   22436   5044   1888 S   0.0  0.0   0:00.15 bash
19501 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/1:1
19528 root      20   0  103568   4244   3192 S   0.0  0.0   0:00.01 sshd
19577 eyujugu   20   0  103568   1996    944 S   0.0  0.0   0:00.22 sshd
19578 eyujugu   20   0   22436   5044   1888 S   0.0  0.0   0:00.26 bash
19597 root      20   0       0      0      0 S   0.0  0.0   0:00.56 kworker/u65:0
19729 root      20   0       0      0      0 S   0.0  0.0   0:00.50 kworker/u65:1
20079 eyujugu   20   0    7704    372    252 S   0.0  0.0   0:00.00 netserver
20081 eyujugu   20   0    6504    768    616 S   0.0  0.0  12:04.69 iperf3
20083 eyujugu   20   0  114656  21908   1136 S   0.0  0.0  13:09.40 redis-server
20084 eyujugu   20   0   59848   9460   1708 S   0.0  0.0   4:24.61 netLatencyTeste
20189 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/1:2
20190 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/1:3
20207 eyujugu   20   0   23796   1568   1020 R   0.0  0.0   0:00.00 top
20778 root      20   0       0      0      0 S   0.0  0.0   0:30.76 kworker/9:0
21955 root      20   0       0      0      0 S   0.0  0.0   0:14.29 kworker/8:2
31164 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/20:2
