top - 21:02:22 up 15 days,  5:05,  6 users,  load average: 0.87, 0.76, 0.44
Tasks: 355 total,   2 running, 353 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.1 sy,  0.0 ni, 99.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:  98996304 total, 22576420 used, 76419888 free,   259488 buffers
KiB Swap: 29296636 total,        0 used, 29296636 free. 20430240 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
   76 root      rt   0       0      0      0 S   0.0  0.0   0:03.69 watchdog/1
   77 root      rt   0       0      0      0 S   0.0  0.0   0:02.52 migration/1
   78 root      20   0       0      0      0 S   0.0  0.0   0:02.04 ksoftirqd/1
   80 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:0H
   82 root      rt   0       0      0      0 S   0.0  0.0   0:03.56 watchdog/2
   83 root      rt   0       0      0      0 S   0.0  0.0   0:00.63 migration/2
   84 root      20   0       0      0      0 S   0.0  0.0   0:06.33 ksoftirqd/2
   86 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2:0H
   87 root      rt   0       0      0      0 S   0.0  0.0   0:03.63 watchdog/3
   88 root      rt   0       0      0      0 S   0.0  0.0   0:00.54 migration/3
   91 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3:0H
   92 root      rt   0       0      0      0 S   0.0  0.0   0:03.51 watchdog/4
   93 root      rt   0       0      0      0 S   0.0  0.0   0:00.33 migration/4
   94 root      20   0       0      0      0 S   0.0  0.0   0:05.17 ksoftirqd/4
   96 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/4:0H
   97 root      rt   0       0      0      0 S   0.0  0.0   0:03.56 watchdog/5
   98 root      rt   0       0      0      0 S   0.0  0.0   0:00.38 migration/5
   99 root      20   0       0      0      0 S   0.0  0.0   0:11.68 ksoftirqd/5
  101 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/5:0H
  102 root      rt   0       0      0      0 S   0.0  0.0   0:03.46 watchdog/6
  103 root      rt   0       0      0      0 S   0.0  0.0   0:00.30 migration/6
  104 root      20   0       0      0      0 S   0.0  0.0   0:00.16 ksoftirqd/6
  106 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/6:0H
  107 root      rt   0       0      0      0 S   0.0  0.0   0:03.55 watchdog/7
  108 root      rt   0       0      0      0 S   0.0  0.0   0:00.40 migration/7
  109 root      20   0       0      0      0 S   0.0  0.0   0:00.10 ksoftirqd/7
  111 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/7:0H
  112 root      rt   0       0      0      0 S   0.0  0.0   0:03.52 watchdog/8
  113 root      rt   0       0      0      0 S   0.0  0.0   0:00.30 migration/8
  114 root      20   0       0      0      0 S   0.0  0.0   0:00.15 ksoftirqd/8
  116 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/8:0H
  117 root      rt   0       0      0      0 S   0.0  0.0   0:02.97 watchdog/9
  118 root      rt   0       0      0      0 S   0.0  0.0   0:00.39 migration/9
  119 root      20   0       0      0      0 S   0.0  0.0   0:00.51 ksoftirqd/9
  121 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/9:0H
  122 root      rt   0       0      0      0 S   0.0  0.0   0:03.57 watchdog/10
  123 root      rt   0       0      0      0 S   0.0  0.0   0:00.35 migration/10
  124 root      20   0       0      0      0 S   0.0  0.0   0:00.11 ksoftirqd/10
  126 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/10:0H
  127 root      rt   0       0      0      0 S   0.0  0.0   0:03.52 watchdog/11
  128 root      rt   0       0      0      0 S   0.0  0.0   0:00.40 migration/11
  129 root      20   0       0      0      0 S   0.0  0.0   0:00.08 ksoftirqd/11
  131 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/11:0H
  132 root      rt   0       0      0      0 S   0.0  0.0   0:03.26 watchdog/12
  133 root      rt   0       0      0      0 S   0.0  0.0   0:00.08 migration/12
  134 root      20   0       0      0      0 S   0.0  0.0   0:02.55 ksoftirqd/12
  136 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/12:0H
  137 root      rt   0       0      0      0 S   0.0  0.0   0:03.47 watchdog/13
  138 root      rt   0       0      0      0 S   0.0  0.0   0:01.15 migration/13
  139 root      20   0       0      0      0 S   0.0  0.0   0:01.22 ksoftirqd/13
  140 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/13:0
  141 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/13:0H
  142 root      rt   0       0      0      0 S   0.0  0.0   0:03.57 watchdog/14
  143 root      rt   0       0      0      0 S   0.0  0.0   0:00.95 migration/14
  144 root      20   0       0      0      0 S   0.0  0.0   0:36.65 ksoftirqd/14
  145 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/14:0
  146 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/14:0H
  147 root      rt   0       0      0      0 S   0.0  0.0   0:03.51 watchdog/15
