16	1000 	 31.406µs 	 58.716µs 	 366.797µs 	 27.557µs 	 999.7563004039699 	 127968.80645170815 	 2.0475009032273304e+06
32	1000 	 31.518µs 	 61.096µs 	 460.722µs 	 33.698µs 	 999.7902120202315 	 255946.29427717926 	 2.047570354217434e+06
64	1000 	 30.272µs 	 60.537µs 	 746.142µs 	 40.772µs 	 999.71437860289 	 511853.76184467966 	 2.0474150473787186e+06
128	1000 	 29.508µs 	 84.395µs 	 993.886µs 	 58.231µs 	 998.7400165610869 	 1.022709776958553e+06 	 2.045419553917106e+06
256	1000 	 33.34µs 	 63.266µs 	 255.917µs 	 28.515µs 	 999.8007816958408 	 2.047592000913082e+06 	 2.047592000913082e+06
512	1000 	 29.567µs 	 64.009µs 	 432.594µs 	 34.842µs 	 999.8268429885435 	 4.095290748881074e+06 	 2.047645374440537e+06
1024	1000 	 30.638µs 	 63.279µs 	 812.909µs 	 40.433µs 	 999.7971561539737 	 8.190338303213352e+06 	 2.047584575803338e+06
2048	1000 	 32.209µs 	 65.241µs 	 686.94µs 	 34.677µs 	 999.7548621073211 	 1.6379983660766348e+07 	 2.0474979575957935e+06
4096	1000 	 30.381µs 	 67.926µs 	 908.226µs 	 53.826µs 	 999.7861167558285 	 3.276099147385499e+07 	 2.0475619671159368e+06
8192	1000 	 36.333µs 	 105.375µs 	 1.237086ms 	 80.753µs 	 999.8174033476265 	 6.552403334579005e+07 	 2.047626042055939e+06
16384	1000 	 45.522µs 	 111.623µs 	 1.602803ms 	 104.335µs 	 999.8248866700491 	 1.3104904754561667e+08 	 2.0476413679002605e+06
32768	1000 	 60.616µs 	 122.732µs 	 1.618783ms 	 130.585µs 	 999.8029748265689 	 2.6209235103293607e+08 	 2.047596492444813e+06
65536	1000 	 85.11µs 	 154.314µs 	 1.352117ms 	 150.294µs 	 999.7752195376162 	 5.241701503009377e+08 	 2.047539649613038e+06
131072	1000 	 135.098µs 	 250.087µs 	 1.901891ms 	 220.743µs 	 999.8103739648532 	 1.0483771626905699e+09 	 2.0476116458800193e+06
262144	1000 	 222.913µs 	 477.442µs 	 2.788517ms 	 364.833µs 	 999.788789619249 	 2.0967090597275872e+09 	 2.047567441140222e+06
