16	1000 	 62.84µs 	 233.934µs 	 368.505µs 	 36.049µs 	 999.5422566249518 	 127941.40884799384 	 2.0470625415679014e+06
32	1000 	 117.566µs 	 236.486µs 	 346.618µs 	 42.604µs 	 999.5691886783871 	 255889.7123016671 	 2.0471176984133369e+06
64	1000 	 107.429µs 	 227.008µs 	 305.952µs 	 26.137µs 	 999.5511525544965 	 511770.1901079022 	 2.047080760431609e+06
128	1000 	 76.44µs 	 245.065µs 	 506.742µs 	 49.464µs 	 999.6500385159163 	 1.0236416394402983e+06 	 2.0472832788805966e+06
256	1000 	 114.466µs 	 209.782µs 	 1.042276ms 	 39.609µs 	 999.5137065963296 	 2.047004071109283e+06 	 2.047004071109283e+06
512	1000 	 97.107µs 	 231.936µs 	 330.838µs 	 37.749µs 	 999.5969065498523 	 4.094348929228195e+06 	 2.0471744646140975e+06
1024	1000 	 160.463µs 	 262.875µs 	 522.638µs 	 32.12µs 	 999.6320304514308 	 8.188985593458121e+06 	 2.0472463983645302e+06
2048	1000 	 110.491µs 	 226.238µs 	 1.147038ms 	 48.614µs 	 999.5436383610335 	 1.6376522970907172e+07 	 2.0470653713633965e+06
4096	1000 	 92.759µs 	 210.993µs 	 1.072346ms 	 39.853µs 	 999.6349093398712 	 3.27560367092489e+07 	 2.0472522943280563e+06
8192	1000 	 107.4µs 	 208.271µs 	 1.025063ms 	 48.385µs 	 999.5900221507751 	 6.55091316916732e+07 	 2.0471603653647874e+06
16384	1000 	 148.212µs 	 256.789µs 	 1.14588ms 	 70.777µs 	 999.6765236707942 	 1.3102960131057833e+08 	 2.0473375204777864e+06
32768	1000 	 161.121µs 	 263.714µs 	 1.105367ms 	 90.689µs 	 999.6405712354878 	 2.620497779059557e+08 	 2.047263889890279e+06
65536	1000 	 157.045µs 	 290.155µs 	 1.191334ms 	 120.887µs 	 999.5988439907263 	 5.240776787182099e+08 	 2.0471784324930075e+06
131072	1000 	 170.944µs 	 290.027µs 	 1.170054ms 	 166.315µs 	 999.5923052827751 	 1.0481485011041912e+09 	 2.0471650412191234e+06
262144	1000 	 229.603µs 	 366.669µs 	 1.291711ms 	 240.085µs 	 999.6007834375138 	 2.0963147821875489e+09 	 2.0471824044800282e+06
