Location,Test,timestamp,Deployment,RequestSize(byte),NumValidRtt,MinRtt(ns),AvgRtt(ns),MaxRtt(ns),StdRtt(ns),Tps,TxBandwidth(bps),RxBandwidth(bps)
10gRemote,basic,20160518_17-19,lxcBridgeBr0,64,1000,1.5138E+05,1.82002E+05,1.573395E+06,5.28E+04,999.489485757912,511738.61670805095,2.0469544668322038e+06
10gRemote,basic,20160518_17-19,lxcBridgeBr0,128,1000,1.63386E+05,2.25465E+05,1.479074E+06,5.2733E+04,999.4197548798724,1.0234058289969893e+06,2.0468116579939786e+06
10gRemote,basic,20160518_17-19,lxcBridgeBr0,256,1000,1.41535E+05,2.02574E+05,5.40545E+05,3.3817E+04,999.3735956283809,2.0467171238469242e+06,2.0467171238469242e+06
10gRemote,basic,20160518_17-19,lxcBridgeBr0,512,1000,1.48078E+05,2.015E+05,1.383759E+06,5.2681E+04,999.3625136480815,4.093388855902542e+06,2.046694427951271e+06
10gRemote,basic,20160518_17-19,lxcBridgeBr0,1024,1000,1.56834E+05,2.24605E+05,4.1695E+05,3.0862E+04,999.306557196604,8.18631931655458e+06,2.046579829138645e+06
10gRemote,basic,20160518_17-19,lxcBridgeBr0,2048,1000,1.62573E+05,2.65969E+05,1.670047E+06,6.7317E+04,999.4689891223621,1.6375299917780781e+07,2.0469124897225976e+06
10gRemote,basic,20160518_17-19,lxcBridgeBr0,4096,1000,1.76338E+05,2.30542E+05,1.055955E+06,4.9932E+04,999.511675577245,3.2751998585315164e+07,2.0469999115821978e+06
10gRemote,basic,20160518_17-19,lxcBridgeBr0,8192,1000,1.99246E+05,2.52832E+05,1.143766E+06,4.8666E+04,999.4443958675602,6.549958792757642e+07,2.0468621227367632e+06
10gRemote,basic,20160518_17-19,lxcBridgeBr0,16384,1000,2.69E+05,3.26033E+05,1.780471E+06,8.5118E+04,999.5203561686039,1.3100913212373126e+08,2.0470176894333009e+06
10gRemote,basic,20160518_17-19,lxcBridgeBr0,32768,1000,4.11024E+05,4.69601E+05,1.396725E+06,8.6076E+04,999.336395663142,2.619700401047187e+08,2.0466409383181147e+06
10gRemote,basic,20160518_17-19,lxcBridgeBr0,65536,1000,6.49884E+05,7.65929E+05,1.988024E+06,1.28667E+05,999.3797429575715,5.239628066757392e+08,2.0467297135771064e+06
10gRemote,basic,20160518_17-19,lxcBridgeBr0,131072,1000,1.135097E+06,1.57178E+06,7.764972E+06,8.27859E+05,999.2902890473642,1.047831814128129e+09,2.046546511969002e+06
10gRemote,basic,20160518_17-19,lxcBridgeBr0,262144,1000,3.321574E+06,1.5716858E+07,2.1543815E+07,2.085638E+06,877.731633270498,1.8407366501764915e+09,1.79759438493798e+06
10gRemote,basic,20160518_17-19,lxcNetworkDefault,16,1000,1.95128E+05,3.01577E+05,1.658171E+06,5.7427E+04,998.4083394221099,127796.26744603006,2.044740279136481e+06
10gRemote,basic,20160518_17-19,lxcNetworkDefault,32,1000,2.24958E+05,3.2859E+05,1.699729E+06,6.1389E+04,999.4379340957473,255856.11112851131,2.0468488890280905e+06
10gRemote,basic,20160518_17-19,lxcNetworkDefault,64,1000,2.39726E+05,3.22103E+05,1.077202E+06,4.1965E+04,999.3401516872832,511662.157663889,2.046648630655556e+06
10gRemote,basic,20160518_17-19,lxcNetworkDefault,128,1000,2.46778E+05,3.1709E+05,1.298313E+06,4.7907E+04,999.2284237895456,1.0232099059604947e+06,2.0464198119209893e+06
10gRemote,basic,20160518_17-19,lxcNetworkDefault,256,1000,2.43069E+05,3.21515E+05,1.599272E+06,5.5817E+04,999.321312928967,2.0466100488785245e+06,2.0466100488785245e+06
10gRemote,basic,20160518_17-19,lxcNetworkDefault,512,1000,2.36516E+05,3.26487E+05,8.44985E+05,4.0601E+04,999.3619833251577,4.093386683699846e+06,2.046693341849923e+06
10gRemote,basic,20160518_17-19,lxcNetworkDefault,1024,1000,2.56392E+05,3.18045E+05,8.68641E+05,3.9737E+04,999.4204780404444,8.187252556107321e+06,2.0468131390268302e+06
10gRemote,basic,20160518_17-19,lxcNetworkDefault,2048,1000,2.45902E+05,3.05909E+05,1.118914E+06,4.9309E+04,999.4414281768549,1.637484835924959e+07,2.0468560449061987e+06
10gRemote,basic,20160518_17-19,lxcNetworkDefault,4096,1000,2.17318E+05,3.20856E+05,1.738276E+06,6.6563E+04,999.4843180650629,3.275110213435598e+07,2.0469438833972488e+06
10gRemote,basic,20160518_17-19,lxcNetworkDefault,8192,1000,2.51712E+05,3.6194E+05,1.199246E+06,4.6454E+04,999.5192042757249,6.5504490571413904e+07,2.0470153303566845e+06
10gRemote,basic,20160518_17-19,lxcNetworkDefault,16384,1000,2.51019E+05,3.97785E+05,1.314563E+06,7.4455E+04,999.4028607882905,1.3099373176924281e+08,2.0467770588944189e+06
10gRemote,basic,20160518_17-19,lxcNetworkDefault,32768,1000,3.42194E+05,4.34109E+05,1.351593E+06,9.4786E+04,999.4826677711617,2.620083844602034e+08,2.0469405035953391e+06
10gRemote,basic,20160518_17-19,lxcNetworkDefault,65536,1000,4.48101E+05,5.59802E+05,1.528317E+06,1.09734E+05,999.4658344852935,5.2400794343062556e+08,2.046906029025881e+06
10gRemote,basic,20160518_17-19,lxcNetworkDefault,131072,1000,6.69132E+05,8.78522E+05,1.786588E+06,1.21266E+05,999.4285747135505,1.0479768171588359e+09,2.0468297210133513e+06
10gRemote,basic,20160518_17-19,lxcNetworkDefault,262144,1000,2.54334E+06,7.224743E+06,1.4232335E+07,2.472451E+06,994.4655466387068,2.0855454100644572e+09,2.0366654395160715e+06
10gRemote,basic,20160518_17-19,physical,16,1000,1.5029E+05,2.05306E+05,5.82294E+05,2.9658E+04,999.4687673581176,127932.00222183905,2.0469120355494248e+06
10gRemote,basic,20160518_17-19,physical,32,1000,1.86209E+05,2.44986E+05,1.493813E+06,4.8888E+04,999.4150793324246,255850.2603091007,2.0468020824728056e+06
10gRemote,basic,20160518_17-19,physical,64,1000,1.47611E+05,2.11449E+05,5.38192E+05,4.1866E+04,999.44236213349,511714.48941234685,2.0468579576493874e+06
10gRemote,basic,20160518_17-19,physical,128,1000,1.4476E+05,2.23563E+05,8.2126E+05,3.4044E+04,999.312620815147,1.0232961237147106e+06,2.0465922474294212e+06
10gRemote,basic,20160518_17-19,physical,256,1000,1.62672E+05,2.37742E+05,6.0164E+05,3.0128E+04,999.3696655720943,2.046709075091649e+06,2.046709075091649e+06
10gRemote,basic,20160518_17-19,physical,512,1000,1.59806E+05,2.1131E+05,3.50018E+05,2.1168E+04,999.3682593485354,4.093412390291601e+06,2.0467061951458005e+06
10gRemote,basic,20160518_17-19,physical,1024,1000,1.69406E+05,2.55493E+05,1.165068E+06,4.1513E+04,999.2917000444252,8.186197606763931e+06,2.0465494016909827e+06
10gRemote,basic,20160518_17-19,physical,2048,1000,1.8038E+05,2.52201E+05,5.789445E+06,2.80612E+05,999.3116371697869,1.6372721863389788e+07,2.0465902329237235e+06
10gRemote,basic,20160518_17-19,physical,4096,1000,1.89417E+05,2.58876E+05,5.32914E+06,2.47091E+05,999.4221640873895,3.274906547281558e+07,2.0468165920509738e+06
10gRemote,basic,20160518_17-19,physical,8192,1000,2.21429E+05,2.93464E+05,5.288336E+06,2.60367E+05,999.4011468399997,6.549675355930622e+07,2.0467735487283194e+06
10gRemote,basic,20160518_17-19,physical,16384,1000,1.97286E+05,3.34276E+05,5.386602E+06,4.87187E+05,999.3352581756257,1.309848709595956e+08,2.0466386087436813e+06
10gRemote,basic,20160518_17-19,physical,32768,1000,2.45417E+05,4.67667E+05,5.606773E+06,6.79127E+05,999.4831462759148,2.620085098973534e+08,2.0469414835730735e+06
10gRemote,basic,20160518_17-19,physical,65536,1000,3.32141E+05,6.9668E+05,5.963623E+06,9.76445E+05,998.5223446963798,5.235132830561756e+08,2.044973761938186e+06
10gRemote,basic,20160518_17-19,physical,131072,1000,4.23408E+05,1.191401E+06,6.526052E+06,1.456905E+06,997.3498240951177,1.0457970891503621e+09,2.042572439746801e+06
10gRemote,basic,20160518_17-19,physical,262144,1000,5.92855E+05,3.264017E+06,9.655605E+06,2.110287E+06,993.4151891422088,2.0833426507399614e+09,2.0345143073632435e+06
Local,basic,20160513_21-33,kvmBridgeBr0,16,1000,1.6577E+05,3.5168E+05,4.90931E+05,3.8029E+04,999.4996055199945,127935.9495065593,2.0469751921049487e+06
Local,basic,20160513_21-33,kvmBridgeBr0,32,1000,2.19626E+05,3.47203E+05,4.57914E+05,4.0943E+04,999.3864376898312,255842.92804859678,2.0467434243887742e+06
Local,basic,20160513_21-33,kvmBridgeBr0,64,1000,2.15944E+05,3.59839E+05,4.66316E+05,2.4456E+04,999.4224977016181,511704.3188232285,2.046817275292914e+06
Local,basic,20160513_21-33,kvmBridgeBr0,128,1000,1.73467E+05,3.3125E+05,5.02181E+05,3.7133E+04,999.4878124704995,1.0234755199697915e+06,2.046951039939583e+06
Local,basic,20160513_21-33,kvmBridgeBr0,256,1000,1.70714E+05,3.20676E+05,4.75731E+05,4.0163E+04,999.4653829682542,2.0469051043189846e+06,2.0469051043189846e+06
Local,basic,20160513_21-33,kvmBridgeBr0,512,1000,2.31439E+05,3.37331E+05,4.26957E+05,3.4021E+04,999.4526537519833,4.093758069768124e+06,2.046879034884062e+06
Local,basic,20160513_21-33,kvmBridgeBr0,1024,1000,2.06076E+05,3.34181E+05,5.06263E+05,3.6974E+04,999.5276662046414,8.188130641548422e+06,2.0470326603871055e+06
Local,basic,20160513_21-33,kvmBridgeBr0,2048,1000,1.50198E+05,3.52483E+05,1.550911E+06,5.993E+04,999.4346288253851,1.6374736958675109e+07,2.0468421198343886e+06
Local,basic,20160513_21-33,kvmBridgeBr0,4096,1000,2.06008E+05,3.58378E+05,1.289967E+06,4.5168E+04,999.515766595589,3.275213263980426e+07,2.0470082899877662e+06
Local,basic,20160513_21-33,kvmBridgeBr0,8192,1000,2.0455E+05,3.33351E+05,1.293775E+06,5.6551E+04,999.6040688235878,6.551005225442265e+07,2.0471891329507078e+06
Local,basic,20160513_21-33,kvmBridgeBr0,16384,1000,1.81749E+05,2.77441E+05,1.360664E+06,9.5217E+04,999.4702537797999,1.3100256510342593e+08,2.0469150797410302e+06
Local,basic,20160513_21-33,kvmBridgeBr0,32768,1000,1.95861E+05,3.16855E+05,1.476647E+06,1.09077E+05,999.4703117183689,2.620051453951001e+08,2.0469151983992194e+06
Local,basic,20160513_21-33,kvmBridgeBr0,65536,1000,1.79417E+05,3.05702E+05,1.394571E+06,1.44319E+05,999.3758717793081,5.239607770634299e+08,2.046721785404023e+06
Local,basic,20160513_21-33,kvmBridgeBr0,131072,1000,2.21037E+05,3.74312E+05,1.587841E+06,2.01949E+05,999.5145577686121,1.0480669769267802e+09,2.0470058143101176e+06
Local,basic,20160513_21-33,kvmBridgeBr0,262144,1000,2.97884E+05,5.01351E+05,1.733549E+06,2.77995E+05,999.5418470003834,2.096191183520548e+09,2.0470617026567853e+06
Local,basic,20160513_21-33,kvmNetworkDefault,16,1000,2.16598E+05,3.43371E+05,5.2309E+05,3.8373E+04,999.5121351283076,127937.55329642337,2.047000852742774e+06
Local,basic,20160513_21-33,kvmNetworkDefault,32,1000,1.75975E+05,3.39602E+05,4.84031E+05,4.3542E+04,999.4863539678324,255868.5066157651,2.0469480529261208e+06
Local,basic,20160513_21-33,kvmNetworkDefault,64,1000,2.72119E+05,3.57507E+05,5.1876E+05,3.4006E+04,999.4829474816089,511735.26911058376,2.046941076442335e+06
Local,basic,20160513_21-33,kvmNetworkDefault,128,1000,1.61717E+05,2.69028E+05,8.60303E+05,4.5899E+04,999.5101111087525,1.0234983537753626e+06,2.0469967075507252e+06
Local,basic,20160513_21-33,kvmNetworkDefault,256,1000,2.11271E+05,3.38459E+05,4.32579E+05,4.3867E+04,999.500884240941,2.0469778109254471e+06,2.0469778109254471e+06
Local,basic,20160513_21-33,kvmNetworkDefault,512,1000,2.88799E+05,3.62682E+05,4.998E+05,3.1556E+04,999.4213390423798,4.093629804717588e+06,2.046814902358794e+06
Local,basic,20160513_21-33,kvmNetworkDefault,1024,1000,2.05456E+05,3.41005E+05,4.66754E+05,4.2386E+04,999.3623928023187,8.186776721836595e+06,2.0466941804591487e+06
Local,basic,20160513_21-33,kvmNetworkDefault,2048,1000,1.53226E+05,3.29867E+05,1.162844E+06,4.6021E+04,999.4420255093465,1.6374858145945134e+07,2.0468572682431417e+06
Local,basic,20160513_21-33,kvmNetworkDefault,4096,1000,2.16471E+05,3.4145E+05,1.341226E+06,4.8461E+04,999.5062908691062,3.2751822139198873e+07,2.0469888836999296e+06
Local,basic,20160513_21-33,kvmNetworkDefault,8192,1000,2.24833E+05,3.62939E+05,1.338752E+06,5.4853E+04,999.4933608133771,6.550279689426548e+07,2.0469624029457963e+06
Local,basic,20160513_21-33,kvmNetworkDefault,16384,1000,2.31275E+05,3.94838E+05,1.51833E+06,8.0132E+04,999.560871918188,1.3101444260406074e+08,2.047100665688449e+06
Local,basic,20160513_21-33,kvmNetworkDefault,32768,1000,2.08751E+05,3.15362E+05,1.369762E+06,1.05242E+05,999.50476537885,2.6201417721547326e+08,2.0469857594958849e+06
Local,basic,20160513_21-33,kvmNetworkDefault,65536,1000,1.93964E+05,3.15732E+05,1.426757E+06,1.48082E+05,999.4851122459711,5.240180505292157e+08,2.0469455098797488e+06
Local,basic,20160513_21-33,kvmNetworkDefault,131072,1000,2.59045E+05,3.42756E+05,1.515741E+06,1.97939E+05,999.3833434998768,1.0479293887937268e+09,2.0467370874877477e+06
Local,basic,20160513_21-33,kvmNetworkDefault,262144,1000,3.12581E+05,4.88317E+05,2.175522E+06,2.87369E+05,999.5995414313112,2.0963121775117571e+09,2.0471798608513253e+06
Local,basic,20160513_21-33,lxcBridgeBr0,16,1000,1.7057E+05,2.36355E+05,3.50623E+05,2.6562E+04,999.4868484596982,127934.31660284137,2.046949065645462e+06
Local,basic,20160513_21-33,lxcBridgeBr0,32,1000,8.5836E+04,1.13206E+05,2.13439E+05,1.8126E+04,999.5516251302057,255885.21603333266,2.0470817282666613e+06
Local,basic,20160513_21-33,lxcBridgeBr0,64,1000,9.1248E+04,1.12355E+05,2.2038E+05,1.5405E+04,999.5515082351154,511770.3722163791,2.0470814888655164e+06
Local,basic,20160513_21-33,lxcBridgeBr0,128,1000,1.56943E+05,2.34863E+05,3.985E+05,2.0575E+04,999.5602434708849,1.0235496893141861e+06,2.0470993786283722e+06
Local,basic,20160513_21-33,lxcBridgeBr0,256,1000,8.5155E+04,1.40573E+05,2.04357E+05,1.3558E+04,999.6280114269916,2.0472381674024789e+06,2.0472381674024789e+06
Local,basic,20160513_21-33,lxcBridgeBr0,512,1000,1.12664E+05,2.56082E+05,5.72293E+05,3.523E+04,999.591429997677,4.094326497270485e+06,2.0471632486352425e+06
Local,basic,20160513_21-33,lxcBridgeBr0,1024,1000,7.9316E+04,1.62174E+05,5.39557E+05,4.3958E+04,999.6385436978999,8.189038949973196e+06,2.047259737493299e+06
Local,basic,20160513_21-33,lxcBridgeBr0,2048,1000,8.7188E+04,1.31619E+05,1.52204E+06,5.2898E+04,999.5963150273689,1.6377386025408411e+07,2.0471732531760514e+06
Local,basic,20160513_21-33,lxcBridgeBr0,4096,1000,9.8825E+04,2.28996E+05,1.482833E+06,4.9332E+04,999.5973441970053,3.275480577464747e+07,2.047175360915467e+06
Local,basic,20160513_21-33,lxcBridgeBr0,8192,1000,1.15842E+05,2.06511E+05,1.78723E+06,8.7761E+04,999.601087194931,6.5509856850407e+07,2.0471830265752187e+06
Local,basic,20160513_21-33,lxcBridgeBr0,16384,1000,1.3079E+05,2.52983E+05,1.593627E+06,9.9573E+04,999.6012420713166,1.3101973400077161e+08,2.0471833437620564e+06
Local,basic,20160513_21-33,lxcBridgeBr0,32768,1000,1.16874E+05,2.24793E+05,1.523371E+06,1.40336E+05,999.5839012102754,2.6203492219886643e+08,2.047147829678644e+06
Local,basic,20160513_21-33,lxcBridgeBr0,65536,1000,1.48718E+05,2.61444E+05,1.588318E+06,1.96039E+05,999.5755552298606,5.2406546870035315e+08,2.0471307371107545e+06
Local,basic,20160513_21-33,lxcBridgeBr0,131072,1000,1.71835E+05,2.90359E+05,1.683373E+06,2.94239E+05,999.6130028247953,1.0481702040500126e+09,2.0472074297851808e+06
Local,basic,20160513_21-33,lxcBridgeBr0,262144,1000,2.44514E+05,5.01856E+05,1.802037E+06,3.97105E+05,999.5772258136105,2.096265378269465e+09,2.0471341584662744e+06
Local,basic,20160513_21-33,lxcNetworkDefault,16,1000,6.284E+04,2.33934E+05,3.68505E+05,3.6049E+04,999.5422566249518,127941.40884799384,2.0470625415679014e+06
Local,basic,20160513_21-33,lxcNetworkDefault,32,1000,1.17566E+05,2.36486E+05,3.46618E+05,4.2604E+04,999.5691886783871,255889.7123016671,2.0471176984133369e+06
Local,basic,20160513_21-33,lxcNetworkDefault,64,1000,1.07429E+05,2.27008E+05,3.05952E+05,2.6137E+04,999.5511525544965,511770.1901079022,2.047080760431609e+06
Local,basic,20160513_21-33,lxcNetworkDefault,128,1000,7.644E+04,2.45065E+05,5.06742E+05,4.9464E+04,999.6500385159163,1.0236416394402983e+06,2.0472832788805966e+06
Local,basic,20160513_21-33,lxcNetworkDefault,256,1000,1.14466E+05,2.09782E+05,1.042276E+06,3.9609E+04,999.5137065963296,2.047004071109283e+06,2.047004071109283e+06
Local,basic,20160513_21-33,lxcNetworkDefault,512,1000,9.7107E+04,2.31936E+05,3.30838E+05,3.7749E+04,999.5969065498523,4.094348929228195e+06,2.0471744646140975e+06
Local,basic,20160513_21-33,lxcNetworkDefault,1024,1000,1.60463E+05,2.62875E+05,5.22638E+05,3.212E+04,999.6320304514308,8.188985593458121e+06,2.0472463983645302e+06
Local,basic,20160513_21-33,lxcNetworkDefault,2048,1000,1.10491E+05,2.26238E+05,1.147038E+06,4.8614E+04,999.5436383610335,1.6376522970907172e+07,2.0470653713633965e+06
Local,basic,20160513_21-33,lxcNetworkDefault,4096,1000,9.2759E+04,2.10993E+05,1.072346E+06,3.9853E+04,999.6349093398712,3.27560367092489e+07,2.0472522943280563e+06
Local,basic,20160513_21-33,lxcNetworkDefault,8192,1000,1.074E+05,2.08271E+05,1.025063E+06,4.8385E+04,999.5900221507751,6.55091316916732e+07,2.0471603653647874e+06
Local,basic,20160513_21-33,lxcNetworkDefault,16384,1000,1.48212E+05,2.56789E+05,1.14588E+06,7.0777E+04,999.6765236707942,1.3102960131057833e+08,2.0473375204777864e+06
Local,basic,20160513_21-33,lxcNetworkDefault,32768,1000,1.61121E+05,2.63714E+05,1.105367E+06,9.0689E+04,999.6405712354878,2.620497779059557e+08,2.047263889890279e+06
Local,basic,20160513_21-33,lxcNetworkDefault,65536,1000,1.57045E+05,2.90155E+05,1.191334E+06,1.20887E+05,999.5988439907263,5.240776787182099e+08,2.0471784324930075e+06
Local,basic,20160513_21-33,lxcNetworkDefault,131072,1000,1.70944E+05,2.90027E+05,1.170054E+06,1.66315E+05,999.5923052827751,1.0481485011041912e+09,2.0471650412191234e+06
Local,basic,20160513_21-33,lxcNetworkDefault,262144,1000,2.29603E+05,3.66669E+05,1.291711E+06,2.40085E+05,999.6007834375138,2.0963147821875489e+09,2.0471824044800282e+06
Local,basic,20160513_21-33,physical,16,1000,1.19447E+05,2.21352E+05,3.9356E+05,3.7417E+04,999.5574259585084,127943.35052268907,2.0470936083630251e+06
Local,basic,20160513_21-33,physical,32,1000,1.17057E+05,2.1064E+05,3.00214E+05,2.6767E+04,999.6266704270224,255904.42762931774,2.047235421034542e+06
Local,basic,20160513_21-33,physical,64,1000,6.6536E+04,1.88866E+05,3.05321E+05,3.2694E+04,999.6059723190133,511798.2578273348,2.0471930313093392e+06
Local,basic,20160513_21-33,physical,128,1000,8.4018E+04,2.03679E+05,3.17836E+05,3.3452E+04,999.6512896413318,1.0236429205927238e+06,2.0472858411854475e+06
