16	1000 	 170.57µs 	 236.355µs 	 350.623µs 	 26.562µs 	 999.4868484596982 	 127934.31660284137 	 2.046949065645462e+06
32	1000 	 85.836µs 	 113.206µs 	 213.439µs 	 18.126µs 	 999.5516251302057 	 255885.21603333266 	 2.0470817282666613e+06
64	1000 	 91.248µs 	 112.355µs 	 220.38µs 	 15.405µs 	 999.5515082351154 	 511770.3722163791 	 2.0470814888655164e+06
128	1000 	 156.943µs 	 234.863µs 	 398.5µs 	 20.575µs 	 999.5602434708849 	 1.0235496893141861e+06 	 2.0470993786283722e+06
256	1000 	 85.155µs 	 140.573µs 	 204.357µs 	 13.558µs 	 999.6280114269916 	 2.0472381674024789e+06 	 2.0472381674024789e+06
512	1000 	 112.664µs 	 256.082µs 	 572.293µs 	 35.23µs 	 999.591429997677 	 4.094326497270485e+06 	 2.0471632486352425e+06
1024	1000 	 79.316µs 	 162.174µs 	 539.557µs 	 43.958µs 	 999.6385436978999 	 8.189038949973196e+06 	 2.047259737493299e+06
2048	1000 	 87.188µs 	 131.619µs 	 1.52204ms 	 52.898µs 	 999.5963150273689 	 1.6377386025408411e+07 	 2.0471732531760514e+06
4096	1000 	 98.825µs 	 228.996µs 	 1.482833ms 	 49.332µs 	 999.5973441970053 	 3.275480577464747e+07 	 2.047175360915467e+06
8192	1000 	 115.842µs 	 206.511µs 	 1.78723ms 	 87.761µs 	 999.601087194931 	 6.5509856850407e+07 	 2.0471830265752187e+06
16384	1000 	 130.79µs 	 252.983µs 	 1.593627ms 	 99.573µs 	 999.6012420713166 	 1.3101973400077161e+08 	 2.0471833437620564e+06
32768	1000 	 116.874µs 	 224.793µs 	 1.523371ms 	 140.336µs 	 999.5839012102754 	 2.6203492219886643e+08 	 2.047147829678644e+06
65536	1000 	 148.718µs 	 261.444µs 	 1.588318ms 	 196.039µs 	 999.5755552298606 	 5.2406546870035315e+08 	 2.0471307371107545e+06
131072	1000 	 171.835µs 	 290.359µs 	 1.683373ms 	 294.239µs 	 999.6130028247953 	 1.0481702040500126e+09 	 2.0472074297851808e+06
262144	1000 	 244.514µs 	 501.856µs 	 1.802037ms 	 397.105µs 	 999.5772258136105 	 2.096265378269465e+09 	 2.0471341584662744e+06
